***SENSOR SELECTION
CH 1-Voltage(�1V)
CH 2-Voltage(�1V)
INTERNAL
*** Sampling Rate 
1 Sample/s
*** Duration to Monitor  
5 Hours
Time(s),V1,V2,�C
492.000000,0.415868,0.538871,27.8369
493.000000,0.415868,0.543131,27.8369
494.000000,0.416400,0.544196,27.8369
495.000000,0.416400,0.540468,27.8369
496.000000,0.416933,0.542066,27.8369
497.000000,0.416933,0.539936,27.8369
498.000000,0.416933,0.539936,27.8369
499.000000,0.417465,0.544196,27.8369
500.000000,0.417465,0.542598,27.8369
501.000000,0.417465,0.542598,27.8369
502.000000,0.417465,0.546326,27.8369
503.000000,0.418530,0.550586,27.8369
504.000000,0.418530,0.539404,27.8369
505.000000,0.418530,0.538338,27.8369
506.000000,0.418530,0.540468,27.8369
507.000000,0.419063,0.550053,27.8369
508.000000,0.419063,0.553781,27.8369
509.000000,0.419063,0.561235,27.8369
510.000000,0.419063,0.554313,27.8369
511.000000,0.420128,0.551650,27.8369
512.000000,0.420128,0.552715,27.8369
513.000000,0.420128,0.545261,27.8369
514.000000,0.420660,0.550053,27.9175
515.000000,0.420660,0.545793,27.9175
516.000000,0.420660,0.542598,27.9175
517.000000,0.421725,0.544196,27.9175
518.000000,0.421725,0.545793,27.9175
519.000000,0.421725,0.545793,27.9175
520.000000,0.421725,0.545793,27.9175
521.000000,0.421725,0.548456,27.9175
522.000000,0.422257,0.546858,27.9175
523.000000,0.422257,0.547923,27.9175
524.000000,0.422257,0.550586,27.9175
525.000000,0.422790,0.550586,27.9175
526.000000,0.422790,0.553248,27.9175
527.000000,0.422790,0.555910,27.9175
528.000000,0.423322,0.554845,27.9175
529.000000,0.423322,0.548456,27.9175
530.000000,0.423855,0.553781,27.9175
531.000000,0.423855,0.561768,27.9175
532.000000,0.423855,0.621938,27.9175
533.000000,0.423855,0.621938,27.9175
534.000000,0.424388,0.620341,27.9175
535.000000,0.424388,0.621938,27.9175
536.000000,0.424388,0.620873,27.9175
537.000000,0.424920,0.621406,27.9175
538.000000,0.424920,0.603834,27.9175
539.000000,0.425452,0.618743,27.9175
540.000000,0.425452,0.538338,27.9175
541.000000,0.425452,0.223642,27.9175
542.000000,0.425452,0.470713,27.9175
543.000000,0.425985,0.764111,27.9175
544.000000,0.425985,0.593717,27.9175
545.000000,0.425985,0.558573,27.9980
546.000000,0.426517,0.247604,27.9980
547.000000,0.426517,0.023961,27.9980
548.000000,0.426517,0.075612,27.9980
549.000000,0.427050,0.390841,27.9980
550.000000,0.427050,0.000532,27.9980
551.000000,0.427050,-0.002130,27.9980
552.000000,0.427050,-0.005325,27.9980
553.000000,0.427582,-0.004260,27.9980
554.000000,0.427582,0.010649,27.9980
555.000000,0.427582,0.063898,27.9980
556.000000,0.427582,0.095846,27.9980
557.000000,0.428115,0.548988,27.9980
558.000000,0.428115,0.399361,27.9980
559.000000,0.429180,0.001065,27.9980
560.000000,0.430245,0.315229,27.9980
561.000000,0.430245,0.433972,27.9980
562.000000,0.430245,0.733227,27.9980
563.000000,0.430245,0.745474,27.9980
564.000000,0.430245,0.758253,27.9980
565.000000,0.430777,0.758253,27.9980
566.000000,0.430777,0.758253,28.0786
567.000000,0.430777,0.757188,28.0786
568.000000,0.431310,0.511714,28.0786
569.000000,0.431310,0.289670,28.0786
570.000000,0.431310,0.387646,28.0786
571.000000,0.431842,0.570820,28.0786
572.000000,0.431842,0.153887,28.0786
573.000000,0.431842,0.062833,28.0786
574.000000,0.432375,0.361555,28.0786
575.000000,0.432375,0.527689,28.0786
