***SENSOR SELECTION
CH 1-Voltage(±1V)
CH 2-Voltage(±1V)
CH 3-Voltage(±1V)
*** Sampling Rate 
1 Data Per 1 Min
*** Duration to Monitor  
1 Day
Start: 12-DEC-2022  02:52PM
Time(s),V,V,V
30360,0.025026,0.677849,0.700745
30420,0.024494,0.677849,0.700213
30480,0.025026,0.677316,0.700213
30540,0.024494,0.677316,0.699680
30600,0.024494,0.677316,0.699680
30660,0.024494,0.677316,0.699680
30720,0.024494,0.676784,0.699148
30780,0.024494,0.676784,0.699148
30840,0.024494,0.676784,0.699148
30900,0.024494,0.676784,0.698615
30960,0.024494,0.676251,0.698615
31020,0.024494,0.676251,0.698615
31080,0.024494,0.676251,0.698615
31140,0.024494,0.676251,0.698083
31200,0.023961,0.675719,0.698083
31260,0.024494,0.675719,0.698083
31320,0.024494,0.675719,0.697550
31380,0.023961,0.675719,0.697550
31440,0.023961,0.675186,0.697550
31500,0.023961,0.675186,0.697018
31560,0.023961,0.675186,0.697018
31620,0.023961,0.675186,0.697018
31680,0.023961,0.674654,0.696485
31740,0.023961,0.674654,0.696485
31800,0.023961,0.674654,0.696485
31860,0.023961,0.674121,0.696485
31920,0.023961,0.674121,0.695953
31980,0.023961,0.674121,0.695953
32040,0.023961,0.674121,0.695953
32100,0.023961,0.673589,0.695420
32160,0.023429,0.673589,0.695420
32220,0.023961,0.673589,0.695420
32280,0.023429,0.673589,0.694888
32340,0.023429,0.673056,0.694888
32400,0.023429,0.673056,0.694888
32460,0.023429,0.673056,0.694888
32520,0.023429,0.673056,0.694356
32580,0.023429,0.672524,0.694356
32640,0.023429,0.672524,0.694356
32700,0.023429,0.672524,0.694356
32760,0.023429,0.672524,0.693823
32820,0.023429,0.671991,0.693823
32880,0.023429,0.671991,0.693823
32940,0.023429,0.671991,0.693291
33000,0.023429,0.671991,0.693291
33060,0.023429,0.671459,0.693291
33120,0.023429,0.671459,0.693291
33180,0.023429,0.671459,0.692758
33240,0.022896,0.671459,0.692758
33300,0.022896,0.670926,0.692758
33360,0.022896,0.670926,0.692758
33420,0.022896,0.670926,0.692226
33480,0.022896,0.670926,0.692226
33540,0.022896,0.670394,0.692226
33600,0.022896,0.670394,0.691693
33660,0.022896,0.670394,0.691693
33720,0.022896,0.670394,0.691693
33780,0.022896,0.669861,0.691693
33840,0.022896,0.669861,0.691161
33900,0.022896,0.669861,0.691161
33960,0.022896,0.669861,0.691161
34020,0.022896,0.669329,0.691161
34080,0.022896,0.669329,0.690628
34140,0.022364,0.669329,0.690628
34200,0.022896,0.669329,0.690628
34260,0.022896,0.668796,0.690628
34320,0.022364,0.668796,0.690096
34380,0.022896,0.668796,0.690096
34440,0.022896,0.668796,0.690096
34500,0.022896,0.668796,0.690096
34560,0.022364,0.668264,0.689563
34620,0.022364,0.668264,0.689563
34680,0.022364,0.668264,0.689563
34740,0.022364,0.668264,0.689563
34800,0.022364,0.667731,0.689031
34860,0.022364,0.667731,0.689031
34920,0.022364,0.667731,0.689031
34980,0.022364,0.667731,0.689031
35040,0.022364,0.667731,0.688498
35100,0.022364,0.667199,0.688498
35160,0.022364,0.667199,0.688498
35220,0.022364,0.667199,0.688498
35280,0.022364,0.667199,0.687966
35340,0.022364,0.667199,0.687966
35400,0.021832,0.666666,0.687966
35460,0.022364,0.666666,0.687966
35520,0.022364,0.666666,0.687433
35580,0.022364,0.666666,0.687433
35640,0.022364,0.666666,0.687433
35700,0.022364,0.666134,0.687433
35760,0.022364,0.666134,0.686901
35820,0.021832,0.666134,0.686901
35880,0.021832,0.666134,0.686901
35940,0.021832,0.666134,0.686901
36000,0.021832,0.665602,0.686368
36060,0.021832,0.665602,0.686368
36120,0.021832,0.665602,0.686368
36180,0.021832,0.665602,0.686368
36240,0.021832,0.665602,0.685836
36300,0.021832,0.665069,0.685836
36360,0.021832,0.665069,0.685836
36420,0.021832,0.665069,0.685836
36480,0.021832,0.665069,0.685836
36540,0.021832,0.665069,0.685303
36600,0.021832,0.664537,0.685303
36660,0.021832,0.664537,0.685303
36720,0.021832,0.664537,0.685303
36780,0.021832,0.664537,0.684771
36840,0.021832,0.664004,0.684771
36900,0.021832,0.664004,0.684771
36960,0.021832,0.664004,0.684771
37020,0.021832,0.664004,0.684238
37080,0.021832,0.664004,0.684238
37140,0.021299,0.664004,0.684238
37200,0.021832,0.663472,0.684238
37260,0.021299,0.663472,0.683706
37320,0.021299,0.663472,0.683706
37380,0.021299,0.663472,0.683706
37440,0.021832,0.663472,0.683706
37500,0.021299,0.662939,0.683706
37560,0.021832,0.662939,0.683173
37620,0.021299,0.662939,0.683173
37680,0.021299,0.662939,0.683173
37740,0.021299,0.662939,0.683173
37800,0.021299,0.662939,0.683173
37860,0.021299,0.662407,0.682641
37920,0.021299,0.662407,0.682641
37980,0.021299,0.662407,0.682641
38040,0.021299,0.662407,0.682641
38100,0.021299,0.662407,0.682108
38160,0.021299,0.662407,0.682108
38220,0.021299,0.661874,0.682108
38280,0.021299,0.661874,0.682108
38340,0.021299,0.661874,0.682108
38400,0.021299,0.661874,0.681576
38460,0.021299,0.661874,0.681576
38520,0.021299,0.661874,0.681576
38580,0.021299,0.661874,0.681576
38640,0.021299,0.661342,0.681576
38700,0.021299,0.661342,0.681043
38760,0.020767,0.661342,0.681043
38820,0.021299,0.661342,0.681043
38880,0.020767,0.661342,0.681043
38940,0.020767,0.661342,0.681043
39000,0.020767,0.661342,0.681043
39060,0.020767,0.660809,0.680511
39120,0.021299,0.660809,0.680511
39180,0.020767,0.660809,0.680511
39240,0.020767,0.660809,0.680511
39300,0.020767,0.660809,0.679979
39360,0.020767,0.660809,0.679979
39420,0.020767,0.660277,0.679979
39480,0.020767,0.660277,0.679979
39540,0.020767,0.660277,0.679979
39600,0.020767,0.660277,0.679979
39660,0.020767,0.660277,0.679446
39720,0.020767,0.660277,0.679446
39780,0.020767,0.659744,0.679446
39840,0.020767,0.659744,0.679446
39900,0.020767,0.659744,0.679446
39960,0.020767,0.659744,0.678914
40020,0.020767,0.659744,0.678914
40080,0.020234,0.659744,0.678914
40140,0.020234,0.659744,0.678914
40200,0.020767,0.659212,0.678381
40260,0.020767,0.659212,0.678381
40320,0.020234,0.659212,0.678381
40380,0.020234,0.659212,0.678381
40440,0.020234,0.659212,0.678381
40500,0.020234,0.659212,0.678381
40560,0.020234,0.659212,0.677849
40620,0.020234,0.658679,0.677849
40680,0.020234,0.658679,0.677849
40740,0.020234,0.658679,0.677849
40800,0.020234,0.658679,0.677849
40860,0.020234,0.658679,0.677316
40920,0.020234,0.658679,0.677316
40980,0.020234,0.658147,0.677316
41040,0.020234,0.658147,0.677316
41100,0.020234,0.658147,0.677316
41160,0.020234,0.658147,0.677316
41220,0.020234,0.658147,0.677316
41280,0.020234,0.658147,0.676784
41340,0.020234,0.658147,0.676784
41400,0.020234,0.657614,0.676784
41460,0.020234,0.657614,0.676784
41520,0.020234,0.657614,0.676784
41580,0.019702,0.657614,0.676784
41640,0.020234,0.657614,0.676251
41700,0.019702,0.657614,0.676251
41760,0.019702,0.657082,0.676251
41820,0.019702,0.657082,0.676251
41880,0.019702,0.657082,0.676251
41940,0.019702,0.657082,0.675719
42000,0.019702,0.657082,0.675719
42060,0.019702,0.657082,0.675719
42120,0.019702,0.657082,0.675719
42180,0.019702,0.656549,0.675719
42240,0.019702,0.656549,0.675719
42300,0.019702,0.656549,0.675186
42360,0.019702,0.656549,0.675186
42420,0.019702,0.656549,0.675186
42480,0.019702,0.656549,0.675186
42540,0.019702,0.656549,0.675186
42600,0.019702,0.656017,0.675186
42660,0.019702,0.656017,0.674654
42720,0.019702,0.656017,0.674654
42780,0.019702,0.656017,0.674654
42840,0.019702,0.656017,0.674654
42900,0.019702,0.656017,0.674654
42960,0.019702,0.656017,0.674654
43020,0.019702,0.656017,0.674654
43080,0.019702,0.655484,0.674121
43140,0.019702,0.655484,0.674121
43200,0.019702,0.655484,0.674121
43260,0.019702,0.655484,0.674121
43320,0.019702,0.655484,0.674121
43380,0.019702,0.654952,0.674121
43440,0.019702,0.654952,0.673589
43500,0.019702,0.654952,0.673589
43560,0.019702,0.654952,0.673589
43620,0.019702,0.654952,0.673589
43680,0.019702,0.654952,0.673589
43740,0.019702,0.654952,0.673589
43800,0.019702,0.654952,0.673056
43860,0.019702,0.654419,0.673056
43920,0.019702,0.654419,0.673056
43980,0.019702,0.654419,0.673056
44040,0.019169,0.654419,0.673056
44100,0.019169,0.654419,0.672524
44160,0.019169,0.654419,0.672524
44220,0.019169,0.654419,0.672524
44280,0.019169,0.654419,0.672524
44340,0.019169,0.653887,0.672524
44400,0.019702,0.653887,0.672524
44460,0.019169,0.653887,0.672524
44520,0.019169,0.653887,0.672524
